,name,team,complete,att_yards,firstdown,inside_20,goaltogo,incompletion_type,blitz_x,hurry,knockdown,pocket_time,on_target_throw,batted_pass,yards,interception,touchdown,sequence,direction,start_location,end_location,hash_mark,play_action,run_pass_option,blitz_y,qb_at_snap,players_rushed,pocket_location,pass_route,season
56,Jimmy Garoppolo,SF,0.0,0,0,0,0,Pass Defended,1,0,0,1.853,0,1,,,,1,short right,"{'alias': 'SF', 'yardline': 25}","{'alias': 'SF', 'yardline': 25}",Left Hash,True,True,True,Shotgun,6.0,Middle,Cross,2019
57,Jimmy Garoppolo,SF,0.0,0,0,0,0,Poorly Thrown,1,0,1,2.533,0,0,,,,1,short right,"{'alias': 'SF', 'yardline': 25}","{'alias': 'SF', 'yardline': 25}",Left Hash,False,False,True,Shotgun,5.0,Middle,Comeback,2019
58,Patrick Mahomes II,KC,1.0,-2,0,0,0,,0,0,0,1.235,1,0,5.0,,,1,short left,"{'alias': 'KC', 'yardline': 35}","{'alias': 'KC', 'yardline': 33}",Right Hash,False,False,False,Shotgun,3.0,Middle,WR Screen,2019
59,Patrick Mahomes II,KC,1.0,7,1,0,0,,0,0,0,2.187,1,0,9.0,,,1,short middle,"{'alias': 'KC', 'yardline': 40}","{'alias': 'KC', 'yardline': 47}",Left Hash,False,False,False,Shotgun,4.0,Middle,Cross,2019
60,Patrick Mahomes II,KC,1.0,2,0,0,0,,0,0,0,1.724,1,0,3.0,,,1,short right,"{'alias': 'KC', 'yardline': 49}","{'alias': 'SF', 'yardline': 49}",Left Hash,False,False,False,Shotgun,4.0,Middle,Curl,2019
61,Patrick Mahomes II,KC,1.0,23,1,0,0,,1,0,0,2.217,1,0,38.0,,,1,deep right,"{'alias': 'SF', 'yardline': 48}","{'alias': 'SF', 'yardline': 25}",Right Hash,True,True,True,Shotgun,5.0,Middle,Go,2019
62,Patrick Mahomes II,KC,1.0,1,1,1,1,,1,0,0,1.65,1,0,5.0,,1.0,1,short right,"{'alias': 'SF', 'yardline': 5}","{'alias': 'SF', 'yardline': 4}",Right Hash,True,True,True,Shotgun,5.0,Middle,Flat,2019
63,Jimmy Garoppolo,SF,1.0,2,0,0,0,,0,0,0,1.806,1,0,8.0,,,1,short right,"{'alias': 'SF', 'yardline': 27}","{'alias': 'SF', 'yardline': 29}",Right Hash,False,False,False,Shotgun,4.0,Middle,Out,2019
64,Jimmy Garoppolo,SF,1.0,10,1,0,0,,0,0,0,2.445,1,0,16.0,,,1,short left,"{'alias': 'SF', 'yardline': 35}","{'alias': 'SF', 'yardline': 45}",Right Hash,False,False,False,Shotgun,4.0,Middle,Slant,2019
65,Jimmy Garoppolo,SF,0.0,9,0,0,0,Pass Defended,0,0,0,1.884,0,1,,,,1,short right,"{'alias': 'KC', 'yardline': 49}","{'alias': 'KC', 'yardline': 40}",Left Hash,False,False,False,Shotgun,4.0,Middle,Curl,2019
66,Jimmy Garoppolo,SF,0.0,7,0,0,0,Pass Defended,1,0,0,1.243,1,0,,,,1,short middle,"{'alias': 'KC', 'yardline': 49}","{'alias': 'KC', 'yardline': 42}",Left Hash,False,False,True,Shotgun,5.0,Middle,Slant,2019
67,Jimmy Garoppolo,SF,0.0,44,0,0,0,Poorly Thrown,1,0,1,2.683,0,0,,,,1,deep middle,"{'alias': 'KC', 'yardline': 49}","{'alias': 'KC', 'yardline': 5}",Left Hash,False,False,True,Shotgun,5.0,Middle,Go,2019
68,Jimmy Garoppolo,SF,0.0,0,0,0,0,Poorly Thrown,0,0,1,3.269,0,0,,,,1,short left,"{'alias': 'SF', 'yardline': 25}","{'alias': 'SF', 'yardline': 25}",Left Hash,False,False,False,Shotgun,4.0,Middle,Flat,2019
69,Jimmy Garoppolo,SF,,34,0,0,0,Pass Defended,0,0,0,2.593,1,0,,1.0,,1,deep middle,"{'alias': 'SF', 'yardline': 25}","{'alias': 'KC', 'yardline': 41}",Left Hash,False,False,False,Shotgun,4.0,Middle,Go,2019
